TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000796	"condensin complex"	-1.6197887582883939	4.284611182369772	0.05979684350793119	0.7235535895594066	0.25607434	null
GO:0000811	"GINS complex"	-1.853871964321762	4.011528153857539	0.03188419739001078	0.619421289048228	0.59778281	null
GO:0000922	"spindle pole"	-1.3565473235138126	4.84963435786558	0.219643242908553	0.7635504031981221	0.42537284	null
GO:0002178	"palmitoyltransferase complex"	NaN	3.95970902424643	0.028297690963689927	0.7655729883203001	0.26721412	null
GO:0005576	"extracellular region"	-1.494850021680094	6.18190387069214	4.720556653123128	0.9999377239135796	0.00005205	null
GO:0005615	"extracellular space"	-1.744727494896694	5.830430831376853	2.101453665395594	0.9999421607937924	0.00003698	null
GO:0005759	"mitochondrial matrix"	NaN	5.5207899854045035	1.0300974340456217	0.8001474611069435	0.10834435	null
GO:0005811	"lipid droplet"	NaN	4.80665472399186	0.19894708244844178	0.8213812855966223	0.07055102	null
GO:0005826	"actomyosin contractile ring"	NaN	3.9302866472455196	0.02644388634333188	0.7914041751547747	0.24162274	null
GO:0005868	"cytoplasmic dynein complex"	NaN	4.418996931155748	0.08148356288578816	0.6216411365163984	0.55807641	null
GO:0008180	"COP9 signalosome"	-1.6989700043360187	4.340642377560705	0.06803183488680815	0.7365955335225965	0.15529327	null
GO:0009925	"basal plasma membrane"	NaN	4.931971194166093	0.26549463155881586	0.987187963711784	0.00002899	null
GO:0015030	"Cajal body"	NaN	4.186617351853637	0.04771761407209735	0.7235891640827075	0.42858721	null
GO:0030496	"midbody"	NaN	4.691187620372241	0.15249949532731	0.9999533640523239	0	null
GO:0031261	"DNA replication preinitiation complex"	-1.6989700043360187	4.402759889900228	0.07849325493033622	0.6707156588058872	0.47414577	null
GO:0031428	"box C/D methylation guide snoRNP complex"	NaN	4.05869168281923	0.03554212342482113	0.8003994033093583	0	null
GO:0170049	"box C/D RNP complex"	170049	NaN	4.05869168281923	0.03554212342482113	0.8003994033093583	0.82638031	31428
GO:0031514	"motile cilium"	NaN	4.797613730153076	0.19484821796121798	0.82567593901364	0.00002957	null
GO:0036064	"ciliary basal body"	36064	NaN	4.8962340175948045	0.24452210826585397	0.6726262605281387	0.73255235	31514
GO:0034464	"BBSome"	NaN	3.877025615867249	0.023391474380497775	0.7405443228624443	0.61480551	null
GO:0034708	"methyltransferase complex"	NaN	4.925678147497901	0.26167523510481183	0.7264013386779886	0.44977512	null
GO:0043527	"tRNA methyltransferase complex"	NaN	4.402106556827201	0.07837525731631008	0.719882290315566	0.48475948	null
GO:0044666	"MLL3/4 complex"	44666	NaN	3.785756799962643	0.018957248253410185	0.6129195718622399	0.75438285	43527
GO:0045178	"basal part of cell"	NaN	4.958473097109159	0.28220060954462206	0.9999511196962368	0.0000305	null
GO:0070877	"microprocessor complex"	NaN	3.4539295920577286	0.008828084649376766	0.6866750142925504	0.69156679	null
GO:1903095	"ribonuclease III complex"	NaN	3.4539295920577286	0.008828084649376766	0.7698372030346959	0.13693875	null
